LoadStep,Iteration,ResidualNorm
1,0,0.503283
1,1,0.905412
1,2,2.90043
1,3,10.1198
1,4,35.5237
1,5,125.563
1,6,279.149
1,7,926.945
1,8,3304.47
1,9,11763.6
1,10,41999.7
1,11,149882
1,12,535258
1,13,1.91165e+06
1,14,6.82922e+06
1,15,2.43996e+07
1,16,8.71857e+07
1,17,3.11558e+08
1,18,1.11341e+09
1,19,3.97914e+09
1,20,1.4221e+10
1,21,5.0825e+10
1,22,1.81646e+11
1,23,6.4919e+11
1,24,2.32015e+12
1,25,8.29192e+12
1,26,2.96339e+13
1,27,1.05906e+14
1,28,3.78479e+14
1,29,1.35257e+15
1,30,4.83361e+15
1,31,1.72734e+16
1,32,6.17276e+16
1,33,2.20585e+17
1,34,7.88255e+17
1,35,2.81678e+18
1,36,1.00655e+19
1,37,3.59679e+19
1,38,1.28526e+20
1,39,4.59263e+20
1,40,1.64108e+21
1,41,5.86404e+21
1,42,2.09537e+22
1,43,7.48724e+22
1,44,2.67535e+23
1,45,9.55957e+23
1,46,3.41581e+24
1,47,1.22053e+25
1,48,4.36115e+25
1,49,1.5583e+26
2,0,5.56804e+26
2,1,1.98953e+27
2,2,7.10885e+27
2,3,2.54008e+28
2,4,9.07598e+28
2,5,3.24294e+29
2,6,1.15874e+30
2,7,4.14027e+30
2,8,1.47936e+31
2,9,5.28587e+31
2,10,1.88869e+32
2,11,6.74843e+32
2,12,2.41127e+33
2,13,8.61565e+33
2,14,3.07843e+34
2,15,1.09995e+35
2,16,3.93019e+35
2,17,1.40428e+36
2,18,5.01759e+36
2,19,1.79282e+37
2,20,6.40586e+37
2,21,2.28885e+38
2,22,8.17822e+38
2,23,2.92213e+39
2,24,1.04409e+40
2,25,3.73061e+40
2,26,1.33297e+41
2,27,4.76277e+41
2,28,1.70177e+42
2,29,6.08051e+42
2,30,2.1726e+43
2,31,7.76283e+43
2,32,2.7737e+44
2,33,9.9106e+44
2,34,3.54111e+45
2,35,1.26526e+46
2,36,4.52084e+46
2,37,1.61532e+47
2,38,5.77163e+47
2,39,2.06224e+48
2,40,7.36848e+48
2,41,2.6328e+49
2,42,9.40713e+49
2,43,3.36122e+50
2,44,1.20098e+51
2,45,4.29117e+51
2,46,1.53326e+52
2,47,5.47842e+52
2,48,1.95747e+53
2,49,6.99414e+53
3,0,2.49905e+54
3,1,8.92922e+54
3,2,3.19046e+55
3,3,1.13997e+56
3,4,4.07317e+56
3,5,1.45536e+57
3,6,5.2001e+57
3,7,1.85802e+58
3,8,6.63881e+58
3,9,2.37208e+59
3,10,8.47558e+59
3,11,3.02837e+60
3,12,1.08205e+61
3,13,3.86624e+61
3,14,1.38143e+62
3,15,4.93591e+62
3,16,1.76363e+63
3,17,6.30154e+63
3,18,2.25157e+64
3,19,8.04499e+64
3,20,2.87452e+65
3,21,1.02708e+66
3,22,3.66981e+66
3,23,1.31124e+67
3,24,4.68515e+67
3,25,1.67403e+68
3,26,5.98139e+68
3,27,2.13718e+69
3,28,7.63627e+69
3,29,2.72848e+70
3,30,9.749e+70
3,31,3.48337e+71
3,32,1.24463e+72
3,33,4.44712e+72
3,34,1.58898e+73
3,35,5.67751e+73
3,36,2.0286e+74
3,37,7.24831e+74
3,38,2.58986e+75
3,39,9.25371e+75
3,40,3.3064e+76
3,41,1.18139e+77
3,42,4.22119e+77
3,43,1.50825e+78
3,44,5.38907e+78
3,45,1.92554e+79
3,46,6.88007e+79
3,47,2.45828e+80
3,48,8.78358e+80
3,49,3.13842e+81
4,0,1.12137e+82
4,1,4.00673e+82
4,2,1.43163e+83
4,3,5.11528e+83
4,4,1.82772e+84
4,5,6.53053e+84
4,6,2.33339e+85
4,7,8.33734e+85
4,8,2.97898e+86
4,9,1.0644e+87
4,10,3.80317e+87
4,11,1.35889e+88
4,12,4.8554e+88
4,13,1.73486e+89
4,14,6.19875e+89
4,15,2.21485e+90
4,16,7.91376e+90
4,17,2.82763e+91
4,18,1.01033e+92
4,19,3.60995e+92
4,20,1.28986e+93
4,21,4.60872e+93
4,22,1.64672e+94
4,23,5.88383e+94
4,24,2.10232e+95
4,25,7.51171e+95
4,26,2.68397e+96
4,27,9.58998e+96
4,28,3.42655e+97
4,29,1.22433e+98
4,30,4.37458e+98
4,31,1.56306e+99
4,32,5.5849e+99
4,33,1.99552e+100
4,34,7.13008e+100
4,35,2.54762e+101
4,36,9.10277e+101
4,37,3.25247e+102
4,38,1.16212e+103
4,39,4.15233e+103
4,40,1.48365e+104
4,41,5.30116e+104
4,42,1.89413e+105
4,43,6.76784e+105
4,44,2.41819e+106
4,45,8.64031e+106
4,46,3.08723e+107
4,47,1.10308e+108
4,48,3.94138e+108
4,49,1.40827e+109
5,0,5.03184e+109
5,1,1.7979e+110
5,2,6.42401e+110
5,3,2.29533e+111
5,4,8.20134e+111
5,5,2.93038e+112
5,6,1.04704e+113
5,7,3.74114e+113
5,8,1.33673e+114
5,9,4.7762e+114
5,10,1.70656e+115
5,11,6.09764e+115
5,12,2.17872e+116
5,13,7.78468e+116
5,14,2.78151e+117
5,15,9.93848e+117
5,16,3.55107e+118
5,17,1.26882e+119
5,18,4.53355e+119
5,19,1.61986e+120
5,20,5.78785e+120
5,21,2.06803e+121
5,22,7.38918e+121
5,23,2.64019e+122
5,24,9.43356e+122
5,25,3.37066e+123
5,26,1.20436e+124
5,27,4.30323e+124
5,28,1.53757e+125
5,29,5.4938e+125
5,30,1.96297e+126
5,31,7.01378e+126
5,32,2.50606e+127
5,33,8.95429e+127
5,34,3.19942e+128
5,35,1.14317e+129
5,36,4.0846e+129
5,37,1.45945e+130
5,38,5.21469e+130
5,39,1.86324e+131
5,40,6.65745e+131
5,41,2.37874e+132
5,42,8.49937e+132
5,43,3.03687e+133
5,44,1.08509e+134
5,45,3.87709e+134
5,46,1.3853e+135
5,47,4.94976e+135
5,48,1.76858e+136
5,49,6.31922e+136
6,0,2.25789e+137
6,1,8.06757e+137
6,2,2.88259e+138
6,3,1.02996e+139
6,4,3.68011e+139
6,5,1.31492e+140
6,6,4.69829e+140
6,7,1.67873e+141
6,8,5.99818e+141
6,9,2.14318e+142
6,10,7.6577e+142
6,11,2.73614e+143
6,12,9.77636e+143
6,13,3.49315e+144
6,14,1.24812e+145
6,15,4.4596e+145
