PointID,Flag,X0,x0,u0,R0,NeighborCount
0,Patch,0.5,0.5,0,0,1
1,Patch,1.5,1.5,0,-2.07933e+06,2
2,Point,2.5,128326,128323,2.29131e+06,2
3,Point,3.5,119895,119892,2.0573e+06,2
4,Point,4.5,-11320.8,-11325.3,-380981,2
5,Point,5.5,-119799,-119804,-2.26393e+06,2
6,Point,6.5,-93156.4,-93162.9,-1.55726e+06,2
7,Point,7.5,26428.1,26420.6,785326,2
8,Point,8.5,99141.9,99133.4,2.02485e+06,2
9,Point,9.5,51004.5,50995,839780,2
10,Point,10.5,-47253.5,-47264,-1.21731e+06,2
11,Point,11.5,-72858.5,-72870,-1.64997e+06,2
12,RightPatch,12.5,13.75,1.25,633060,1
